,City,Cloudiness,Country,Timestamp,Humidity,Longitude,Latitude,Max_Temperature,Wind_Speed
0,Hermanus,100,ZA,2019-07-20 16:24:02,86,19.24,-34.42,46.0,4.0
1,San Francisco del Mar,2,MX,2019-07-20 16:24:02,47,-94.51,16.34,93.22,17.92
2,Sechura,42,PE,2019-07-20 16:19:53,89,-80.82,-5.56,62.98,18.86
3,Avarua,7,CK,2019-07-20 16:24:02,64,-159.78,-21.21,73.4,11.41
4,Castro,90,CL,2019-07-20 16:24:03,100,-73.76,-42.48,41.0,6.93
5,Serov,1,RU,2019-07-20 16:24:03,96,60.57,59.61,60.82,3.4
6,Chifeng,33,CN,2019-07-20 16:24:03,54,118.96,42.27,68.56,5.3
7,Veliki Preslav,70,BG,2019-07-20 16:24:03,59,26.81,43.16,67.66,5.93
8,Sambava,100,MG,2019-07-20 16:24:04,80,50.17,-14.27,70.18,1.9
9,Yellowknife,40,CA,2019-07-20 16:24:04,52,-114.38,62.45,69.01,11.41
10,Lebu,40,ET,2019-07-20 16:24:04,82,38.73,8.96,57.2,6.93
11,College,90,US,2019-07-20 16:24:04,63,-147.8,64.86,66.2,9.17
12,Prado,4,CO,2019-07-20 16:24:04,33,-74.93,3.75,91.96,19.08
13,Vaini,100,IN,2019-07-20 16:24:05,91,74.49,15.34,77.56,7.2
14,Carnarvon,27,ZA,2019-07-20 16:24:05,61,22.13,-30.97,36.16,12.73
15,Mataura,82,NZ,2019-07-20 16:24:05,98,168.86,-46.19,46.99,2.19
16,Atuona,0,PF,2019-07-20 16:24:05,78,-139.03,-9.8,79.72,12.15
17,Barrow,100,AR,2019-07-20 16:24:06,84,-60.23,-38.31,57.22,12.26
18,Port Blair,93,IN,2019-07-20 16:24:06,82,92.75,11.67,80.98,10.69
19,Luangwa,0,MZ,2019-07-20 16:24:06,32,30.4,-15.62,62.26,3.44
20,Albany,40,US,2019-07-20 16:24:07,55,-73.75,42.65,95.0,8.05
21,Tuktoyaktuk,90,CA,2019-07-20 16:24:07,82,-133.03,69.44,59.0,8.05
22,Chalmette,90,US,2019-07-20 16:24:07,100,-89.96,29.94,78.8,4.7
23,Provideniya,100,RU,2019-07-20 16:24:07,88,-173.23,64.42,51.82,4.63
24,Ushuaia,0,AR,2019-07-20 16:24:08,64,-68.31,-54.81,35.6,11.41
25,Meulaboh,100,ID,2019-07-20 16:24:08,79,96.13,4.14,79.72,3.06
26,Leningradskiy,100,RU,2019-07-20 16:24:08,88,178.42,69.38,36.52,10.13
27,Lashio,100,MM,2019-07-20 16:24:09,99,97.75,22.93,70.18,0.65
28,Luwuk,85,ID,2019-07-20 16:20:51,98,122.79,-0.95,62.98,5.08
29,Vardo,1,US,2019-07-20 16:24:09,56,-77.74,39.62,98.6,9.17
30,Markova,20,RU,2019-07-20 16:24:09,100,104.21,52.21,57.0,4.47
31,Dikson,67,RU,2019-07-20 16:24:09,99,80.55,73.51,44.62,17.52
32,Busselton,100,AU,2019-07-20 16:24:10,62,115.35,-33.64,57.99,27.63
33,Hilo,40,US,2019-07-20 16:24:10,58,-155.08,19.71,84.2,12.75
34,Khandyga,1,RU,2019-07-20 16:24:10,51,135.58,62.65,50.92,3.91
35,Bethel,90,US,2019-07-20 16:23:20,87,-161.76,60.79,53.6,10.29
36,Portland,1,US,2019-07-20 16:20:06,58,-70.25,43.66,93.99,10.29
37,Hambantota,100,LK,2019-07-20 16:24:11,78,81.12,6.12,81.52,22.73
38,Kahului,40,US,2019-07-20 16:24:11,55,-156.47,20.89,87.8,27.51
39,Laguna,75,BZ,2019-07-20 16:24:11,79,-88.94,16.17,84.2,6.93
40,Vao,0,EE,2019-07-20 16:24:12,79,26.19,59.1,58.12,4.9
41,Karratha,75,AU,2019-07-20 16:20:47,39,116.85,-20.74,61.72,10.33
42,Tasiilaq,40,GL,2019-07-20 16:24:12,75,-37.64,65.61,46.4,3.36
43,Husavik,31,CA,2019-07-20 16:24:12,77,-96.99,50.56,72.0,9.86
44,Srednekolymsk,100,RU,2019-07-20 16:24:13,52,153.71,67.46,51.64,11.45
45,Tiksi,5,RU,2019-07-20 16:23:20,75,128.87,71.64,44.26,10.18
46,Aksu,0,KZ,2019-07-20 16:24:13,88,76.93,52.04,62.6,2.24
47,Cabra,0,ES,2019-07-20 16:24:13,29,-4.43,37.47,91.4,5.82
48,Sao Jose da Coroa Grande,68,BR,2019-07-20 16:24:14,94,-35.15,-8.9,70.36,6.49
